NIM,Nama,Nilai
A001,Mahasiswa1,77
A002,Mahasiswa2,85
A003,Mahasiswa3,69
A004,Mahasiswa4,92
A005,Mahasiswa5,74
A006,Mahasiswa6,81
A007,Mahasiswa7,88
A008,Mahasiswa8,65
A009,Mahasiswa9,90
A010,Mahasiswa10,72
A011,Mahasiswa11,83
A012,Mahasiswa12,78
A013,Mahasiswa13,95
A014,Mahasiswa14,66
A015,Mahasiswa15,87
A016,Mahasiswa16,70
A017,Mahasiswa17,91
A018,Mahasiswa18,76
A019,Mahasiswa19,84
A020,Mahasiswa20,68
A021,Mahasiswa21,93
A022,Mahasiswa22,71
A023,Mahasiswa23,82
A024,Mahasiswa24,79
A025,Mahasiswa25,89
A026,Mahasiswa26,67
A027,Mahasiswa27,94
A028,Mahasiswa28,73
A029,Mahasiswa29,86
A030,Mahasiswa30,75
A031,Mahasiswa31,92
A032,Mahasiswa32,69
A033,Mahasiswa33,81
A034,Mahasiswa34,88
A035,Mahasiswa35,64
A036,Mahasiswa36,90
A037,Mahasiswa37,77
A038,Mahasiswa38,85
A039,Mahasiswa39,70
A040,Mahasiswa40,93
A041,Mahasiswa41,72
A042,Mahasiswa42,84
A043,Mahasiswa43,78
A044,Mahasiswa44,91
A045,Mahasiswa45,66
A046,Mahasiswa46,89
A047,Mahasiswa47,74
A048,Mahasiswa48,87
A049,Mahasiswa49,68
A050,Mahasiswa50,95
A051,Mahasiswa51,71
A052,Mahasiswa52,83
A053,Mahasiswa53,76
A054,Mahasiswa54,92
A055,Mahasiswa55,69
A056,Mahasiswa56,85
A057,Mahasiswa57,73
A058,Mahasiswa58,90
A059,Mahasiswa59,65
A060,Mahasiswa60,88
A061,Mahasiswa61,77
A062,Mahasiswa62,82
A063,Mahasiswa63,79
A064,Mahasiswa64,94
A065,Mahasiswa65,70
A066,Mahasiswa66,86
A067,Mahasiswa67,75
A068,Mahasiswa68,91
A069,Mahasiswa69,67
A070,Mahasiswa70,84
A071,Mahasiswa71,78
A072,Mahasiswa72,93
A073,Mahasiswa73,72
A074,Mahasiswa74,87
A075,Mahasiswa75,66
A076,Mahasiswa76,89
A077,Mahasiswa77,74
A078,Mahasiswa78,95
A079,Mahasiswa79,68
A080,Mahasiswa80,83
A081,Mahasiswa81,76
A082,Mahasiswa82,92
A083,Mahasiswa83,69
A084,Mahasiswa84,85
A085,Mahasiswa85,71
A086,Mahasiswa86,90
A087,Mahasiswa87,65
A088,Mahasiswa88,88
A089,Mahasiswa89,77
A090,Mahasiswa90,84
A091,Mahasiswa91,73
A092,Mahasiswa92,91
A093,Mahasiswa93,70
A094,Mahasiswa94,86
A095,Mahasiswa95,75
A096,Mahasiswa96,93
A097,Mahasiswa97,67
A098,Mahasiswa98,82
A099,Mahasiswa99,79
A100,Mahasiswa100,94
A101,Mahasiswa101,72
A102,Mahasiswa102,85
A103,Mahasiswa103,78
A104,Mahasiswa104,90
A105,Mahasiswa105,66
A106,Mahasiswa106,87
A107,Mahasiswa107,74
A108,Mahasiswa108,92
A109,Mahasiswa109,69
A110,Mahasiswa110,83
A111,Mahasiswa111,76
A112,Mahasiswa112,95
A113,Mahasiswa113,71
A114,Mahasiswa114,89
A115,Mahasiswa115,68
A116,Mahasiswa116,91
A117,Mahasiswa117,70
A118,Mahasiswa118,84
A119,Mahasiswa119,77
A120,Mahasiswa120,93
A121,Mahasiswa121,65
A122,Mahasiswa122,88
A123,Mahasiswa123,73
A124,Mahasiswa124,94
A125,Mahasiswa125,75
A126,Mahasiswa126,86
A127,Mahasiswa127,79
A128,Mahasiswa128,90
A129,Mahasiswa129,67
A130,Mahasiswa130,85
A131,Mahasiswa131,71
A132,Mahasiswa132,92
A133,Mahasiswa133,74
A134,Mahasiswa134,83
A135,Mahasiswa135,78
A136,Mahasiswa136,95
A137,Mahasiswa137,69
A138,Mahasiswa138,87
A139,Mahasiswa139,72
A140,Mahasiswa140,91
A141,Mahasiswa141,66
A142,Mahasiswa142,89
A143,Mahasiswa143,70
A144,Mahasiswa144,93
A145,Mahasiswa145,77
A146,Mahasiswa146,82
A147,Mahasiswa147,79
A148,Mahasiswa148,94
A149,Mahasiswa149,75
A150,Mahasiswa150,86
A151,Mahasiswa151,68
A152,Mahasiswa152,90
A153,Mahasiswa153,73
A154,Mahasiswa154,84
A155,Mahasiswa155,71
A156,Mahasiswa156,92
A157,Mahasiswa157,69
A158,Mahasiswa158,88
A159,Mahasiswa159,74
A160,Mahasiswa160,95
A161,Mahasiswa161,76
A162,Mahasiswa162,83
A163,Mahasiswa163,70
A164,Mahasiswa164,91
A165,Mahasiswa165,67
A166,Mahasiswa166,85
A167,Mahasiswa167,79
A168,Mahasiswa168,93
A169,Mahasiswa169,72
